date,site,code,locality,bruv_id,type,species,MaxN
3/3/2022,Coral Garden,CG,Kambing,TB027,shark,Whitetip Reef Shark,1
3/9/2022,Great Wall,GW,Kambing,TB028,shark,Whitetip Reef Shark,1
3/19/2022,Shark Point,SP,Liukang,TB029,shark,Blacktip Reef Shark,1
3/19/2022,Shark Point,SP,Liukang,TB029,shark,Whitetip Reef Shark,1
3/29/2022,Great Wall,GW,Kambing,TB031,shark,Whitetip Reef Shark,1
4/4/2022,Mr. Ramli,MR,Liukang,TB032,ray,Blue-Spotted Stingray,1
4/4/2022,Mr. Ramli,MR,Liukang,TB032,shark,Whitetip Reef Shark,1
4/12/2022,Shark Point,SP,Liukang,TB033,shark,Blacktip Reef Shark,1
4/12/2022,Shark Point,SP,Liukang,TB033,shark,Whitetip Reef Shark,1
4/18/2022,Great Wall,GW,Kambing,TB034,ray,Marbled Stingray,1
4/27/2022,Eagle Rock,ER,Kambing,TB036,shark,Whitetip Reef Shark,1
5/6/2022,Blue Planet House Reef,BP,Bira West,TB037,ray,Spotted Eagle Ray,1
5/6/2022,Blue Planet House Reef,BP,Bira West,TB037,shark,Whitetip Reef Shark,1
5/8/2022,Shark Point,SP,Liukang,TB038,shark,Blacktip Reef Shark,1
5/9/2022,Great Wall,GW,Kambing,TB039,shark,Whitetip Reef Shark,1
5/17/2022,Stingray Bay,SB,Bira West,TB041,ray,Blue-Spotted Ribbontail Ray,1
5/28/2022,Shark Point,SP,Liukang,TB042,ray,Spotted Eagle Ray,2
5/28/2022,Shark Point,SP,Liukang,TB042,shark,Blacktip Reef Shark,1
5/28/2022,Shark Point,SP,Liukang,TB042,shark,Whitetip Reef Shark,1
6/1/2022,Eagle Rock,ER,Kambing,TB043,ray,Marbled Stingray,1
6/1/2022,Eagle Rock,ER,Kambing,TB043,shark,Grey Reef Shark,1
6/1/2022,Eagle Rock,ER,Kambing,TB043,shark,Whitetip Reef Shark,2
6/5/2022,Mola Mola,MM,Kambing,TB044,ray,Marbled Stingray,1
6/5/2022,Mola Mola,MM,Kambing,TB044,ray,Unknown Ray,1
6/5/2022,Mola Mola,MM,Kambing,TB044,shark,Grey Reef Shark,1
6/5/2022,Mola Mola,MM,Kambing,TB044,shark,Whitetip Reef Shark,1
6/9/2022,The Cave,CV,Kambing,TB045,ray,Shorthorned Pygmy Devil Ray,1
6/24/2022,The Cave,CV,Kambing,TB047,shark,Whitetip Reef Shark,1
7/5/2022,Blue Planet House Reef,BP,Bira West,TB049,shark,Whitetip Reef Shark,1
7/7/2022,Shark Point,SP,Liukang,TB051,ray,Marbled Stingray,1
7/7/2022,Shark Point,SP,Liukang,TB051,shark,Whitetip Reef Shark,1
7/25/2022,Shark Point,SP,Liukang,TB055,shark,Blacktip Reef Shark,1
9/3/2022,Shark Point,SP,Liukang,TB061,ray,Mangrove Whipray,1
9/3/2022,Shark Point,SP,Liukang,TB061,ray,Marbled Stingray,1
9/3/2022,Shark Point,SP,Liukang,TB061,shark,Blacktip Reef Shark,2
9/8/2022,Shark Point,SP,Liukang,TB063,ray,Marbled Stingray,1
9/8/2022,Shark Point,SP,Liukang,TB063,shark,Blacktip Reef Shark,1
9/8/2022,Shark Point,SP,Liukang,TB063,shark,Whitetip Reef Shark,1
9/15/2022,Mola Mola,MM,Kambing,TB065,ray,Marbled Stingray,1
9/15/2022,Mola Mola,MM,Kambing,TB065,shark,Whitetip Reef Shark,1
10/2/2022,Great Wall,GW,Kambing,TB067,shark,Whitetip Reef Shark,2
10/3/2022,The Cave,CV,Kambing,TB068,shark,Whitetip Reef Shark,5
10/17/2022,Shark Point,SP,Liukang,TB069,ray,Blue-Spotted Ribbontail Ray,1
10/17/2022,Shark Point,SP,Liukang,TB069,shark,Blacktip Reef Shark,1
10/20/2022,Mola Mola,MM,Kambing,TB070,shark,Whitetip Reef Shark,2
11/1/2022,Shark Point,SP,Liukang,TB072,shark,Blacktip Reef Shark,1
11/28/2022,The Cave,CV,Kambing,TB078,shark,Blacktip Reef Shark,1
11/28/2022,The Cave,CV,Kambing,TB078,shark,Grey Reef Shark,1
11/28/2022,The Cave,CV,Kambing,TB078,shark,Whitetip Reef Shark,1
3/4/2023,Mola Mola,MM,Kambing,TB085,ray,Spotted Eagle Ray,1
3/4/2023,Mola Mola,MM,Kambing,TB085,shark,Whitetip Reef Shark,3
4/13/2023,The Cave,CV,Kambing,TB091,ray,Marbled Stingray,1
5/18/2023,Coral Garden,CG,Kambing,TB093,shark,Whitetip Reef Shark,1
5/20/2023,Blue Planet House Reef,BP,Bira West,TB094,shark,Whitetip Reef Shark,1
5/30/2023,Mr. Ramli,MR,Liukang,TB095,ray,Blue-Spotted Stingray,1
5/30/2023,Mr. Ramli,MR,Liukang,TB095,shark,Blacktip Reef Shark,1
5/31/2023,Mola Mola,MM,Kambing,TB096,shark,Blacktip Reef Shark,1
5/31/2023,Mola Mola,MM,Kambing,TB096,shark,Whitetip Reef Shark,1
6/6/2023,The Cave,CV,Kambing,TB097,shark,Whitetip Reef Shark,1
6/20/2023,Bira Dive Camp,BD,Bira West,TB098,ray,Spotted Eagle Ray,1
6/26/2023,Great Wall,GW,Kambing,TB099,shark,Whitetip Reef Shark,2
7/4/2023,Eagle Rock,ER,Kambing,TB100,shark,Whitetip Reef Shark,1
7/10/2023,Mola Mola,MM,Kambing,TB101,shark,Grey Reef Shark,1
7/10/2023,Mola Mola,MM,Kambing,TB101,shark,Whitetip Reef Shark,1
7/18/2023,Coral Garden,CG,Kambing,TB102,shark,Blacktip Reef Shark,1
