date,site,code,locality,bruv_id,longitude,latitude,depth,time_in,soak_time
3/3/2022,Coral Garden,CG,Kambing,TB027,120.473853,-5.6844272,19.8,13:22:00,1:19:22
9/3/2022,Great Wall,GW,Kambing,TB028,120.4801834,-5.6768667,20,13:28:00,1:16:12
3/19/2022,Shark Point,SP,Liukang,TB029,120.4501604,-5.6486909,18.2,13:39:00,1:15:10
3/22/2022,Stingray Bay,SB,Bira West,TB030,120.4737571,-5.621204,22.1,13:28:00,1:15:55
3/29/2022,Great Wall,GW,Kambing,TB031,120.48062,-5.67816,22.8,9:29:00,1:08:24
4/4/2022,Mr. Ramli,MR,Liukang,TB032,120.43227,-5.63826,17.1,13:09:00,1:10:36
12/4/2022,Shark Point,SP,Liukang,TB033,120.4505272,-5.6495851,13.7,9:33:00,1:10:10
4/18/2022,Great Wall,GW,Kambing,TB034,120.48019,-5.6769,19.5,9:43:00,1:12:30
4/20/2022,Shark Point,SP,Liukang,TB035,120.449059,-5.6445947,11.3,9:17:00,1:12:05
4/27/2022,Great Wall,GW,Kambing,TB036,120.4797,-5.675162,26.3,9:42:00,1:08:54
6/5/2022,Blue Planet House Reef,BP,Bira West,TB037,120.447788,-5.610634,17.1,11:22:00,1:01:31
9/5/2022,Great Wall,GW,Kambing,TB039,120.4804046,-5.6770526,27.6,10:55:00,1:14:15
5/16/2022,Great Wall,GW,Kambing,TB040,120.4807842,-5.6758502,23.7,9:43:00,1:08:16
5/17/2022,Stingray Bay,SB,Bira West,TB041,120.4704164,-6.6222171,16.3,10:16:00,1:13:45
5/28/2022,Shark Point,SP,Liukang,TB042,120.45063,-5.64907,20.6,9:36:00,1:03:04
1/6/2022,Great Wall,GW,Kambing,TB043,120.4797,-5.675162,26.2,9:57:00,1:15:44
5/6/2022,Mola Mola,MM,Kambing,TB044,120.4731,-5.68068,19.1,10:02:00,1:08:25
9/6/2022,The Cave,CV,Kambing,TB045,120.4716717,-5.6820581,22,9:56:00,1:06:13
6/15/2022,Mola Mola,MM,Kambing,TB046,120.4755032,-5.67885029,18,11:00:00,1:09:19
6/24/2022,The Cave,CV,Kambing,TB047,120.4720365,-5.6815563,18,10:05:00,1:07:03
6/28/2022,Bira Dive Camp,BD,Bira West,TB048,120.4416849,-5.610155,12.8,9:32:00,1:09:56
5/7/2022,Blue Planet House Reef,BP,Bira West,TB049,120.44904,-5.61127,13.3,9:29:00,1:11:10
6/7/2022,Mr. Ramli,MR,Liukang,TB050,120.4307888,-5.6378212,19.3,9:51:00,1:07:51
12/7/2022,Shark Point,SP,Liukang,TB051,120.45052,-5.64917,22.7,9:24:00,1:18:30
7/16/2022,Mr. Ramli,MR,Liukang,TB052,120.4307888,-5.6378212,25.4,9:47:00,2:05:32
7/21/2022,Mr. Ramli,MR,Liukang,TB053,120.4309819,-5.637732,20.6,9:53:00,1:20:31
7/23/2022,Mola Mola,MM,Kambing,TB054,120.47363,-5.68032,18.9,9:52:00,1:11:55
7/25/2022,Shark Point,SP,Liukang,TB055,120.450463,-5.647449,15.1,9:32:00,1:27:30
4/8/2022,Great Wall,GW,Kambing,TB056,120.4807734,-5.6786968,22.4,10:58:00,1:11:28
8/16/2022,Great Wall,GW,Kambing,TB057,120.480773,-5.678696,14.9,13:58:00,1:01:56
8/17/2022,The Cave,CV,Kambing,TB058,120.472254,-5.681343,29.6,14:05:00,1:35:57
8/25/2022,Mola Mola,MM,Kambing,TB059,120.47573,-5.67844,26.3,9:54:00,1:11:58
8/26/2022,Blue Planet House Reef,BP,Bira West,TB060,120.447282,-5.609515,9.2,11:16:00,1:33:35
4/9/2022,Bira Dive Camp,BD,Bira West,TB062,120.44003,-5.61086,11.1,10:37:00,1:11:17
11/23/2022,Mola Mola,MM,Kambing,TB076,120.476428,-5.676617,22,10:35:00,1:37:03
8/12/2022,Coral Garden,CG,Kambing,TB080,120.47676,-5.68265,18,10:31:00,1:07:59
10/12/2022,Great Wall,GW,Kambing,TB081,120.48,-5.57576,21.9,13:36:00,1:03:01
12/12/2022,Shark Point,SP,Liukang,TB082,120.4504,-5.64883,23.6,13:41:00,1:12:00
2/22/2022,Phinisi Point,PP,Bira East,TB026,120.4673,-5.6009,18.8,10:24:00,1:15:22
5/8/2022,Shark Point,SP,Liukang,TB038,120.4509,-5.6471,20.7,8:45:00,1:05:10
9/3/2022,Shark Point,SP,Liukang,TB061,120.4485,-5.6443,15.6,12:55:00,1:10:10
9/8/2022,Shark Point,SP,Liukang,TB063,120.450864,-5.648108,24.2,9:29:00,1:17:02
9/15/2022,Mola Mola,MM,Kambing,TB065,120.476426,-5.677028,20.1,14:01:00,1:05:32
10/2/2022,Great Wall,GW,Kambing,TB067,120.48077,-5.67869,15,9:24:00,1:09:53
10/3/2022,The Cave,CV,Kambing,TB068,120.4717,-5.6821,26,10:56:00,1:02:18
10/17/2022,Shark Point,SP,Liukang,TB069,120.4498,-5.6476,15,13:30:00,1:31:35
10/20/2022,Mola Mola,MM,Kambing,TB070,120.476539,-5.676615,24.6,8:47:00,1:11:59
10/26/2022,Blue Planet House Reef,BP,Bira West,TB071,120.4489,-5.6108,12.6,12:36:00,1:09:41
11/1/2022,Shark Point,SP,Liukang,TB072,120.4492,-5.6497,22.8,14:24:00,1:13:24
11/3/2022,Bira Dive Camp,BD,Bira West,TB073,120.4419,-5.6101,15,8:49:00,1:05:19
11/13/2022,Bira Dive Camp,BD,Bira West,TB074,120.441924,-5.609528,11.2,13:37:00,0:48:55
11/26/2022,Marumasa,MS,Bira East,TB077,120.4596,-5.5721,16.4,11:25:00,1:04:15
11/28/2022,The Cave,CV,Kambing,TB078,120.4738,-5.6807,25.1,13:52:00,1:13:12
12/5/2022,Marumasa,MS,Bira East,TB079,120.4562,-5.5652,25.25,11:05:00,1:11:51
2/21/2023,Shark Point,SP,Liukang,TB083,120.4496,-5.6437,12.3,13:45:00,1:19:40
2/26/2023,Marumasa,MS,Bira East,TB084,120.4597,-5.5719,15,13:11:00,0:50:24
3/4/2023,Mola Mola,MM,Kambing,TB085,120.2857,-5.4066,21.9,8:59:00,1:13:15
3/9/2023,Bira Dive Camp,BD,Bira West,TB086,120.4424,-5.6099,16,13:14:00,1:21:30
3/12/2023,Mr. Ramli,MR,Liukang,TB087,120.2609,-5.3827,15,13:14:00,1:26:06
3/26/2023,Phinisi Point,PP,Bira East,TB088,120.2781,-5.3551,13.3,8:13:00,0:56:06
4/13/2023,The Cave,CV,Kambing,TB091,120.4757,-5.6762,17.5,8:41:00,1:07:53
4/25/2023,Great Wall,GW,Kambing,TB092,120.4804,-5.6771,19.5,13:22:00,1:08:52
5/18/2023,Coral Garden,CG,Kambing,TB093,120.4742,-5.6809,22.3,9:40:00,1:07:53
5/20/2023,Blue Planet House Reef,BP,Bira West,TB094,120.4469,-5.6099,13.3,8:45:00,1:12:00
5/30/2023,Mr. Ramli,MR,Liukang,TB095,120.4311,-5.6375,19.6,9:15:00,1:32:45
5/31/2023,Mola Mola,MM,Kambing,TB096,120.4761,-5.6181,27.5,12:00:00,1:14:10
6/6/2023,The Cave,CV,Kambing,TB097,120.4737,-5.6806,21.6,11:19:00,1:00:54
6/20/2023,Bira Dive Camp,BD,Bira West,TB098,120.4391,-5.6112,18.4,14:15:00,1:10:03
6/26/2023,Great Wall,GW,Kambing,TB099,120.4806,-5.6772,27,10:26:00,1:07:30
7/4/2023,Great Wall,GW,Kambing,TB100,120.4801,-5.6753,25.6,10:26:00,1:11:55
7/10/2023,Mola Mola,MM,Kambing,TB101,120.4766,-5.6734,26.2,7:36:00,1:00:00
7/18/2023,Coral Garden,CG,Kambing,TB102,120.4751,-5.6845,14,8:40:00,1:05:12
7/24/2023,Shark Point,SP,Liukang,TB103,120.4511,-5.6478,21,13:33:00,1:00:39
7/31/2023,Stingray Bay,SB,Bira West,TB104,120.4702,-5.6222,22.5,6:27:00,1:07:30
8/16/2023,Mr. Ramli,MR,Liukang,TB105,120.4311,-5.6374,19.9,8:28:00,0:56:38
8/21/2023,The Cave,CV,Kambing,TB106,120.4718,-5.6814,21.8,8:40:00,1:02:19
8/27/2023,Blue Planet House Reef,BP,Bira West,TB107,120.4478,-5.6103,18,9:00:00,1:09:17
9/4/2023,Bira Dive Camp,BD,Bira West,TB108,120.4395,-5.6114,21.1,13:51:00,1:08:15
9/16/2023,Mola Mola,MM,Kambing,TB109,120.4741,-5.6798,24,13:25:00,0:59:58
9/18/2023,Great Wall,GW,Kambing,TB110,120.4803,-5.6759,22,13:35:00,1:01:11
10/10/2023,The Cave,CV,Kambing,TB111,120.4724,-5.6816,26,9:42:00,0:59:30
10/11/2023,Mr. Ramli,MR,Liukang,TB112,120.4381,-5.6398,10.9,13:20:00,1:02:40
10/16/2023,Shark Point,SP,Liukang,TB113,120.4507,-5.6475,24.1,13:33:00,1:06:25
10/19/2023,Mola Mola,MM,Kambing,TB114,120.4701,-5.6773,24,12:28:00,1:10:46
11/11/2023,Coral Garden,CG,Kambing,TB115,120.2818,-5.4058,15,8:33:00,1:01:19
11/16/2023,Great Wall,GW,Kambing,TB116,120.4799,-5.6751,24.2,13:25:00,1:01:30
11/21/2023,Stingray Bay,SB,Bira West,TB117,120.4701,-5.6217,20.9,10:00:00,1:12:29
11/27/2023,Blue Planet House Reef,BP,Bira West,TB118,120.4483,-5.6105,15,12:08:00,1:10:22
12/5/2023,Bira Dive Camp,BD,Bira West,TB119,120.4418,-5.6097,20,10:13:00,0:58:12
12/13/2023,Phinisi Point,PP,Bira East,TB120,120.4661,-5.5959,25,12:25:00,0:59:56
12/16/2023,Marumasa,MS,Bira East,TB121,120.2724,-5.3355,17,13:20:00,0:57:07
12/23/2023,Great Wall,GW,Kambing,TB122,120.4802,-5.6775,24,10:29:00,0:59:25
1/4/2024,Mola Mola,MM,Kambing,TB123,120.4741,-5.6791,22.4,9:54:00,0:55:26
1/8/2024,The Cave,CV,Kambing,TB124,120.4731,-5.6808,24.4,9:41:00,0:59:47
1/18/2024,Shark Point,SP,Liukang,TB125,120.4494,-5.6511,22.6,8:56:00,1:00:40
2/15/2024,Marumasa,MS,Bira East,TB126,120.4611,-5.5721,22.8,11:44:00,1:25:33
2/18/2024,Mr. Ramli,MR,Liukang,TB127,120.4309,-5.6377,16.7,13:21:00,0:52:21
2/21/2024,Phinisi Point,PP,Bira East,TB128,120.4647,-5.5958,23,9:22:00,1:06:06
3/1/2024,Bira Dive Camp,BD,Bira West,TB129,120.4415,-5.6099,19.7,14:07:00,1:10:53
3/27/2024,Shark Point,SP,Liukang,TB130,120.4489,-5.6449,23.3,9:32:00,1:10:54
4/16/2024,Marumasa,MS,Bira East,TB131,120.4565,-5.5661,21.9,9:07:00,1:29:14
4/23/2024,Coral Garden,CG,Kambing,TB132,120.4727,-5.6841,11,11:30:00,1:27:50
4/24/2024,Blue Planet House Reef,BP,Bira West,TB133,120.4473,-5.6102,16,12:30:00,1:12:43
4/28/2024,Mr. Ramli,MR,Liukang,TB134,120.4307,-5.6379,18.9,9:05:00,1:15:21
5/8/2024,Stingray Bay,SB,Bira West,TB135,120.4697,-5.6216,22.8,9:45:00,1:08:02
5/13/2024,Mola Mola,MM,Kambing,TB136,120.4781,-5.6751,22.2,9:14:00,1:13:11
5/14/2024,Great Wall,GW,Kambing,TB137,120.4798,-5.6761,22.3,8:56:00,1:17:43
5/22/2024,Mr. Ramli,MR,Liukang,TB138,120.4307,-5.6379,19.4,13:48:00,0:53:03
6/5/2024,Great Wall,GW,Kambing,TB139,120.4799,-5.6758,25.3,10:14:00,1:10:32
6/20/2024,Stingray Bay,SB,Bira West,TB140,120.4651,-5.6211,18.1,9:10:00,1:06:47
6/24/2024,Mola Mola,MM,Kambing,TB141,120.4731,-5.6801,18.5,11:27:00,1:10:30
6/25/2024,The Cave,CV,Kambing,TB142,120.4731,-5.6809,17.2,12:28:00,1:07:43
7/4/2024,Coral Garden,CG,Kambing,TB143,120.4741,-5.6813,22.8,9:28:00,1:11:22
7/8/2024,Stingray Bay,SB,Bira West,TB144,120.2819,-5.3726,19.1,8:43:00,1:05:09
7/16/2024,Bira Dive Camp,BD,Bira West,TB145,120.4375,-5.6123,26.4,9:15:00,1:09:24
7/25/2024,Shark Point,SP,Liukang,TB146,120.4507,-5.6474,26.5,14:10:00,1:04:57
7/30/2024,Blue Planet House Reef,BP,Bira West,TB147,120.4481,-5.6104,14.07,8:37:00,1:11:22
8/10/2024,Great Wall,GW,Kambing,TB148,120.4751,-5.6788,15.4,11:04:00,1:05:03
8/14/2024,Shark Point,SP,Liukang,TB149,120.4497,-5.6461,18.5,8:39:00,1:04:36
8/21/2024,Mola Mola,MM,Kambing,TB150,120.474784,-5.6793,23.5,9:06:00,1:14:44
8/24/2024,Bira Dive Camp,BD,Bira West,TB151,120.43852,-5.6117,16.3,8:19:00,0:56:07
9/2/2024,Coral Garden,CG,Kambing,TB152,120.4735,-5.6811,14.6,9:27:00,1:12:54
9/14/2024,Blue Planet House Reef,BP,Bira West,TB153,120.4440674,-5.609895,14,8:05:00,1:10:44
9/26/2024,Great Wall,GW,Kambing,TB154,120.475947,-5.677611,27.5,11:21:00,1:04:44
9/29/2024,The Cave,CV,Kambing,TB155,120.4727733,-5.681123333,27,9:39:00,0:55:54
10/3/2024,Mr. Ramli,MR,Liukang,TB156,120.43188,-5.63863,22,10:50:00,1:07:35
10/20/2024,Great Wall,GW,Kambing,TB159,120.48055,-5.677356,27,13:25:00,1:02:02
10/21/2024,Stingray Bay,SB,Bira West,TB160,120.2817,-5.3719,16.4,13:39:00,1:15:23
10/25/2024,Great Wall,GW,Kambing,TB161,120.47982,-567586,20,9:48:00,1:11:04
11/4/2024,Mola Mola,MM,Kambing,TB162,120.4741249,-5.6795942,20.3,12:50:00,1:09:00
11/13/2024,Shark Point,SP,Liukang,TB163,120.44906,-5.64484,17.8,11:00:00,1:08:26
11/23/2024,Bira Dive Camp,BD,Bira West,TB164,120.4387902,-5.6099721,14,9:47:00,1:14:50
11/28/2024,The Cave,CV,Kambing,TB165,120.471914,-5.682462,20.3,12:13:00,1:25:04
12/5/2024,Mr. Ramli,MR,Liukang,TB166,120.432,-5.637793,15.3,13:21:00,1:21:35
12/12/2024,Great Wall,GW,Kambing,TB167,120.479423,-5.675144,21,9:38:00,1:08:07
