"site","code","locality","algae","cca","hard coral","other","rock","rubble","sand","soft coral","sponge"
"Bira Dive Camp","BD","Bira West",0.32,1.51,10.42,0.7,17.34,23.03,38.25,4.55,3.87
"Blue Planet House Reef","BP","Bira West",0.91,1.78,10.82,0.33,14.8,12.89,50.94,3.09,4.42
"Coral Garden","CG","Kambing",0.97,9.95,19.09,1.84,24.51,11.01,6.35,7.02,19.26
"Great Wall","GW","Kambing",0.76,10.1,24.99,1.16,17.04,3.96,0.65,2.07,39.27
"Marumasa","MS","Bira East",0.2,5.74,10.41,0.73,25.55,28.22,14.54,1,13.61
"Mola Mola","MM","Kambing",0.29,4.76,29.46,0.24,20.69,16.17,3.58,8.12,16.7
"Mr. Ramli","MR","Liukang",1.55,0.95,9.38,1.29,10.74,13.48,57.02,3.5,2.09
"Phinisi Point","PP","Bira East",2.54,9.93,23.2,0.72,28.83,8.16,12.09,0.3,14.24
"Shark Point","SP","Liukang",0.38,6.67,31.15,0.31,18.58,23.09,2.35,9.11,8.36
"Stingray Bay","SB","Bira West",1.24,2.84,2.79,0.28,15.54,18.59,50.75,3.02,4.96
"The Cave","CV","Kambing",0.88,10.53,17.38,1.99,22.49,9.05,3.43,10.45,23.8
